input,output,prediction,match
"list all us air flights from miami to cleveland leaving on sunday afternoon
list all us air flights from miami to cleveland leaving on sunday afternoon
list all us air flights from miami to cleveland leaving on sunday afternoon
list all us airflights from miami to cleveland leaving on sunday afternoon
list all us airflights from miami to cleveland leaving on sunday afternoon
",list all us air flights from miami to cleveland leaving on sunday afternoon,No valid hypothesis found,No
"list the flights from dallas to baltimore arriving july onest
list the flights from dallas to baltimore arriving july onest
list the flights from dallas to baltimore arriving july one
list the flights from dallas to baltimore arriving july one
list the flights from dallas to baltimore arriving july onest
",list the flights from dallas to baltimore arriving july first,No valid hypothesis found,No
"i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june ten
i would like to fly from san diego to houston on june ten
",i would like to fly from san diego to houston on june tenth,No valid hypothesis found,No
"is there an american airlines flight from houston to newark on june tenth after sixpm
is there an american airlines flight from houston to newark on june ten after six p m
is there an american airlines flight from houston to newark on june ten after sixpm
is there an american airlines flight from houston to newark on june tenth after six pm
is there an american airlines flight from houston to newark on june tenth after sixpm
",is there an american airlines flight from houston to newark on june tenth after six pm,No valid hypothesis found,No
"what is the lowest fare from bwi to salt lake city
what is the lowest fair from bwi to salt lake city
what is the lowest fare from bwy to salt lake city
what is the lowest fare from b w i to salt lake city
what is the lowest fare from b w i to salt lake city
",what is the lowest fare from bwi to salt lake city,No valid hypothesis found,No
"list a flight on delta airlines from toronto to san diego
list a flight on delta airlines from toronto to san diego
list a flight on delta airlines from toronto to san diego
lists a flight on delta airlines from toronto to san diego
lists a flight on delta airlines from toronto to san diego
",list a flight on delta airlines from toronto to san diego,No valid hypothesis found,No
"list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
",list the alaska airlines flights departing from burbank,No valid hypothesis found,No
"list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
",list last wednesday flight from oakland to salt lake city,No valid hypothesis found,No
"show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
",show flights from burbank to saint louis on monday,No valid hypothesis found,No
"show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eight one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eight one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
",show me the cheapest round trip fare from san francisco to houston on february twenty eighth nineteen ninety four,No valid hypothesis found,No
"what are the flights from la gordia to san jose on united
what are the flights from la guardia to san jose on united
what are the flights from laguardia to san jose on united
what are the flights from laguardia to san jose on united
what are the flights from laguardia to san jose on united
",what are the flights from la guardia to san jose on united,No valid hypothesis found,No
"what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
",what are the flights from saint louis to charlotte north carolina leaving on friday,No valid hypothesis found,No
"i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
thank you
",i need a flight from saint louis to charlotte,No valid hypothesis found,No
"what is the seating capacity for aircraft lten
what is the seating capacity for aircraft lten
what is the seating capacity for aircraft lten
what is the seeding capacity for aircraft lten
what is the seating capacity for aircraft l ten
",what is the seating capacity for aircraft l ten,No valid hypothesis found,No
"what is meal code sb
what is meal code sb
what is meele code sb
what is meele code sb
what is meal code sb
",what is meal code sb,No valid hypothesis found,No
"i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
",i need the flight numbers of flights leaving from cleveland and arriving at dallas,No valid hypothesis found,No
"i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
and i would like to know what airports are in los angeles
",i would like to know what airports are in los angeles,No valid hypothesis found,No
"how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flites leave saint paul
",how many northwest flights leave saint paul,No valid hypothesis found,No
"what flights from saint louis to saint paul on thursday leaving after ten a m
what flights from saint louis to saint paul on thursday leaving after ten am
what flights from saint louis to saint paul on thursday leaving after tenam
what flights from saint louis to saint paul on thursday leaving after tenam
what flights from saint louis to saint paul on thursday leaving after ten a m
",what flights from saint louis to saint paul on thursday leaving after ten am,No valid hypothesis found,No
"list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june six
list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june sixth
",list the flights from cincinnati to denver on june sixth,No valid hypothesis found,No
