input,output,prediction,match
"and so i was looking at the front porch i saw the breeze and trash can flowing
and so i was looking at the front porch i saw the breeze and the trash can flowing
and so i was looking at the front porch i saw debris and trash can flowing
and so i was looking at the front porch i saw the breeze and trash can flowing
and so i was looking at front porch i saw the breeze and trash can flowing
",and and so iwi was looking on the front porch i saw debris and trash can flowing,and so i was looking at the front porch i saw the breeze and trash can flowing,No
"so yeah i was thinking to say yeah people for much do have an accent and i have tried so hard
so yeah i was thinking to say yeah people from rochester do have an accent and i have tried so hard
so yeah i was thinking to say yeah people for much do have an accent and i have tried so hard
so yeah i was thinking to say yeah people for much do have an accent and i have tried so hard
so yeah i was thinking to say yeah people from rochester do have an accent and i have tried so hard
",so yeah what was i going to say yeah people from rochester do have an accent and i have tried so hard,the investor now owns seventy three percent of the company,No
"my size shaft when there she has my grandmother has a handicapped shower so it is just one shower standing there that she can put the hammer she can put her in there
my size shaft when there she has my grandmother has a handicapped shower so it is just one shower standing there that she can put the hammer she can put her in there
my side shower when there she has my grandmother has a handicapped shower so it is just one shower standing there that she can put the ham she can put them in there
my side shower when there she has my grandmother has a handicapped shower so it is just one shower standing there but she can put them in there
my side shower when there she has my grandmother has a handicapped shower so it is just one shower standing there but she can put them in there
",nice size shower now she has my granddaddy has a handicap shower so it is just one shower standing up that she can with a handle she can put him in there,my size shower when there she has my grandmother has a handicapped shower so it is just one shower standing there that she can put the hammer she can put her in there,No
"oldest redding brooke benton all of those people so it is a dance that two people do man and woman do together let us try
oldest redding brooke benton all of those people so it is a dance that two people do man and woman do together let us try it
oldest redding brooke benton all of those people so it is a dance that two people do man and woman do together let us apologize
oldest redding brooke benton all of those people so it is a dance that two people do man and woman do together let us try this
oldest redding brooke benton you know all of those people so it is a dance that two people do man and woman do together and it is for twice
",otis redding brook benton you know all of those people so it is a dance that two people do man and woman do together and it is very nice,oldest redding brooke benton all of those people so it is a dance that two people do man and woman do together and it is for twice,No
"and it was also the main thing was what was kind of always stuck in my mind it always talked about having kids at home they had mew eyes
and it was also the main thing was what was kind of always stuck in my mind they always talked about having kids at home they had mew eyes
and it was also the main thing was what was kind of always stuck in my mind it was always talking about having kids at home they had mew eyes
and it was also the main thing was what was kind of always stuck in my mind they were always talking about having kids at home they had mew eyes
and it was also the main thing was what was kind of always stuck in my mind it always talked about having kids at home they had mew eyes
",and it was also the main thing was what was kind of always stuck in my mind they always talked about having kids at home they had midwives,the main thing that was always stuck in my mind was that they were always talking about having kids at home they had mew eyes,No
"and here is his son now learning to use it and when they bought that piano out it was something about that way that piano just the legs just folded up and oh i just started boo hooing
and here is his son now learning to use it and when they bought that piano it was something about that way that piano just the legs just folded up and oh i just started boo hooing
and here is his son now learning to use it and when they bought that piano it was something about that we had piano just the legs just folded up and oh i just started boo hooing
and here is his son now learning to use it and when they brought that piano out it was something about that way that piano just the legs just folded up and oh i just started boo hooing
and here is his son now learning to use it and when they brought that piano out it was something about that way that piano just the legs just folded up and oh i just started boo hooing
",and here is his son now learning to use it and when they brought that piano out it was something about that way that piano just the legs just folded up and oh i just start boohooing,the investor now owns seventy three percent of the company,No
"and actually from then that had to be thirty years ago forty years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you was fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember
and actually from then when that had to be thirty years ago forty years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you was fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember
and actually from then when that had to be thirty years ago forty years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you was fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember
and actually from then when that had to be thirty years ago forty years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you was fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember
and actually from then that had to be thirty years ago forty years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you was fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember
",and actually from then one of that had to be n thirty years ago forty years ago i got a text from him couple months ago and he said he said something about the fight i said n yeah you was fighting on my ex girlfriend rd name two i said no i was whooping her ass every day he said that is what i remember,30 years ago i got a text from him a couple months ago and he said he said something about the fight i said yeah you were fighting my ex girlfriend i said no i was whipping her ass every day he said that is what i remember,No
"i went to part of the my high school years were at i graduated from i went
i went to part of my high school years were at i graduated from i went
i went to part of my high school years were at i graduated from i went to
i went to part of the my high school years were at i graduated from i went to boston and transferred to and then i went to
i went to part of my high school years were at i graduated from i went to in boston and transferred to and then i went to
",i went to part of the my high school years were at rd school four i graduated from rd school four i went to rd school six in boston and transferred to rd school nine and then i went to rd school nine,i went to part of my high school years were at i graduated from i went to in boston and transferred to and then i went to,No
"but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but i was like yeah and the cops you know these like cops came something like that and this girl was like what the cops
but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but i was like yeah and the cops you know these like cops gave me something like that and this girl was like what the cops
but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but i was like yeah and the cops you know these like cops gave me something like that and this girl was like with the caps
but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but you know i was like yeah and the cops you know these like cops came something like that and this girl was like what the cops
but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but you know i was like yeah and the cops you know these like cops came something like that and this girl was like with the caps
",but i hear from other people that they hear i was in california i was in san diego and i was telling a story and i said cop and i do not know how i said it but y you know i was like yeah and the cops you know and th th these like cops came or something like that and this girl was like with the caps,i was in san diego and i was telling a story and i said 'cop' and i don't know how i said it but i was like 'yeah' and the cops came and gave me something and this girl was like 'with the caps',No
"but i loved the music and listen i still have tapes north east cuba is locket is the greatest google song ever made in life
but i loved the music and listen i still have tapes north east coolver is locket is the greatest google song ever made in life
but i loved the music and listen i still have tapes north east coovers locket is the greatest google song ever made in life
but i loved the music and listen i still have tapes north east cuba is locket is the greatest google song ever made in life
but i loved the music and listen to i still have tapes north east cuba is locket is the greatest google song ever made in life
",but i loved the music and listened to i still have i have tapes northeast groovers locket is the greatest go go song ever made in life,but i loved the music and listen i still have tapes north east cuba is locket is the greatest google song ever made in life,No
"yeah i like chuck brown i actually looked at i also have to say you know what i am going to say this my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet
yeah i like chuck brown i actually looked at i also have to say you know what i am going to say this and my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet
yeah i like chuck brown i actually looked at i also have to say you know what i am going to say this and my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet
yeah i like chuck brown i actually looked at i also have to say you know what i am going to say this and my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet
yeah i like chuck brown i actually looked at i also have to say you know what i am going to say this my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet
",it is alr yeah i like chuck brown i actually looked at i also have to say you know what and i am going to say this and my friend got mad at me cause i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet,my friend got mad at me because i have another friend and he wants to come do this interview so bad and he was calling me he is like well have you gone yet,No
"join in with john mark clarke i think this is a john mark clarke
join in with john mark clarke i think this is a john mark clarke
john a with john mark clarke i think this is a john mark clarke
john and john mark clarke i think this is a john mark clarke
john a with john mark clark i think this is a john mark clark
",join in with general mark clark i think that is his name general mark clark,about half these managers are in the u s,No
"and i do not know i just i just was more to the you know r b fall kind of thing versus the gulf of america
and i do not know i just i just was more to the you know r b fall kind of thing versus the go up thing
and i do not know i just i just was more to the you know r b fall kind of thing versus the gulf of america
and i do not know i just i just was more to the you know r b fall kind of thing versus the go go thing
and i do not know i just i just was more to the you know r b fall kind of thing versus the gulf of america
",and i do not know i just i just was more into the you know r and b funk kind of thing versus the go go thing,the investor now owns seventy three percent of the company,No
"yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that
yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that
yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that
yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that
yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that
",yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that w the the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that,yeah they would come over and we were all kind of close in age so i remember playing with them i do not remember kids in the neighborhood but i do remember that the houses were like connected you could stand on your porch and see down to other porches that kind of neighborhood houses and i do not remember much else about that,No
"i do not want to have some city when i own a boat
i know one can oh some said it went out on a boat
i know one thing some said it went out on a boat
i know one can oh some said it went out on the boat
i know one time some said it went out on a boat
",it ii know one time some said they had went out on a boat,i know one thing some said it went out on a boat,No
"so yeah when i was eighteen they tore all the houses down and they were hurt and put there
so yeah when i was eighteen they tore all the houses down and they were hood and put there
so yeah when i was eighteen they tore all the houses down and they were hurt and put there
so yeah we when i was eighteen they tore all the houses down and they were hurt and put there
so yeah when i was eighteen they tore all the houses down and they were hood and put there
",so yeah we rd school two what is it rd school four when i was eighteen they tore all the houses down in that neighborhood and put rd school four there,so yeah when i was eighteen they tore all the houses down and they were hurt and put there,No
"but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or part of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area
but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or part of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area
but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or part of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area
but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or proud of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area
but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or proud of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area
",but she and i talk about this all the time like i would never live this leave the city in and i think the older i get the more i want to be in what might be described as a grittier part of the city and not necessarily you know cause there are people think of the the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area might want to live in you know south wedge and,but she and i talk about this all the time like i would never leave the city and i think the older i get the more i want to be in what might be described as a gritty or proud of the city and not necessarily you know because there are people think of the city as the city but in rochester there are all white neighborhoods in the city you know park ave and east ave and so when you make it you might not leave the city but you might move to that area you know and i am like i do not know if i want to live in that area,No
"on the corner how would it be
on the corner how would it be there
on the corner how would it be
on the corner how would it be this
on the corner how would it be there
",on the corner of howard and beasley,on the corner how would it be there,No
"and they are a place about the same way that but the stal always been for them up there we did not ever get up in that part
and they are a place about the same way that but the stale always been for them up there we did not ever get up in that part
and they are a place about the same way that but the style always been for them up there we did not ever get up in that part
and they are a place about the same way that but the stale always been for them up there we did not ever get up in that park
and they are a place about the same way that but the stale always been for them up there we did not ever get up in that park
",and the other place about the same way the but the staff always been for them up there we did not ever get up in that part,about half these managers are in the u s,No
"i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have
i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have
i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have .
i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have .
i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have
",i always dabbled in everything though cause sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with although i probably should have switched or tried double major with drama probably would have,i always dabble in everything though because sixth grade when we started they had like an explore arts program so you kind of did everything you went through vocal drama music creative writing but dance was just my thing it was my go to so that is what i stuck with after i probably should have switched or tried double major with drama i probably would have,No
"okay so i just told you all that guy was significant in my life at middle school this is one thousand, nine hundred and ninety-five somewhere going into one thousand, nine hundred and ninety-six
okay so i just told you all that guy was significant in my life at middle school this is one thousand, nine hundred and ninety-five somewhere going into one thousand, nine hundred and ninety-six
okay so i just told you all that guy was significant in my life at middle school this is one thousand, nine hundred and ninety-five summer going into one thousand, nine hundred and ninety-six
okay so i just i just told you all that guy was significant in my life at middle school this is one thousand, nine hundred and ninety-five somewhere going into one thousand, nine hundred and ninety-six
okay so i just i just told you all that guy was significant in my life at middle school and this is one thousand, nine hundred and ninety-five somewhere going into one thousand, nine hundred and ninety-six
",okay so i just i just told you all that god was significant in my life in middle school n this is nineteen ninety five summer of going into nineteen ninety six,1995 summer going into 1996,No
