input,output,prediction,match
"he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce
he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour flattened sauce
he hoped there would be stew for dinner turnips and carrots and bruise potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce
he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattening sauce
he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out with thick peppered flour fattened sauce
",he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,Yes
"stuff it into you his belly counselled him
stuff it into you his belly counseled him
stuff it into his belly counselled him
stuff it in you his belly counselled him
stuff it in to you his belly counselled him
",stuff it into you his belly counselled him,stuff it into his belly counselled him,No
"after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels
after early night fall the yellow lamps would light up here and there the squalid quarter of the brothels
after early nightfall the yellow lamps would light up here and there the squalid quarters of the brothels
after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothel
after early nightfall the yellow lamps would light up here and there a squalid quarter of the brothels
",after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,after early nightfall the yellow lamps would light up here and there the squalid quarters of the brothels,No
"hallo bertie any good in your mind
hello bertie any good in your mind
hullo bertie any good in your mind
hillo bertie any good in your mind
hallo bertie any good on your mind
",hello bertie any good in your mind,hallo bertie any good in your mind,No
"number ten fresh nelly is waiting on you good night husband
number ten fresh nellie is waiting on you good night husband
no ten fresh nelly is waiting on you good night husband
no ten fresh nellie is waiting on you good night husband
numbers ten fresh nelly is waiting on you good night husband
",number ten fresh nelly is waiting on you good night husband,number ten fresh nelly is waiting on you good night husband,Yes
"the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
the music came nearer and he recalled the words the words of shelley's fragment on the moon wandering companionless pale for weariness
the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale with weariness
the music came nearer and he recalled the words the words of shelley's fragment upon the moonlight wandering companionless pale for weariness
the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale from weariness
",the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness,Yes
"the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tale
the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail
the dull light fell more faintly on the page whereon another equation began to unfold itself slowly and to spread abroad its widening tale
a dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tale
the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening detail
",the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tale,No
"a cold lucid indifference reigned in his soul
a calm lucid indifference reigned in his soul
a cool lucid indifference reigned in his soul
a cold lucid indifference reigned in this soul
a cold lucid indifference reigning in his soul
",a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,Yes
"the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself
the chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself
the chaos in which his ardor extinguished itself was the cold indifferent knowledge of himself
the chaos in which his ardour extinguished itself was the cold indifferent knowledge of himself
the chaos into which his ardor extinguished itself was a cold indifferent knowledge of himself
",the chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,No
"at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace
at most by an alms given to a beggar whose blessing he fled from he might hope warily to win for himself some measure of actual grace
at least by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace
at first by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace
at most by the alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace
",at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at least by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,No
