input,output,prediction,match
"i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything
i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything but .
i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything but
i would like to share with you a discovery that i made a few months ago while writing an article for italianwired i always keep my thesaurus handy whenever i am writing anything
i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything but
",i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything but,i would like to share with you a discovery that i made a few months ago while writing an article for italian wired i always keep my thesaurus handy whenever i am writing anything,No
"i would already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry
i would already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry
i had already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry
i would already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry
i would already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry
",i would already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry,i had already finished editing the piece and i realized that i had never once in my life looked up the word disabled to see what i would find let me read you the entry,No
"disabled adjective crippled helpless useless wrecked
disabled adjective crippled helpless useless wrecked
disabled adjectives crippled helpless useless wrecked
disabled adjectives crippled helpless useless wrecked
disabled adjectives crippled helpless useless wrecked
",disabled adjective crippled helpless useless wrecked,disabled adjective crippled helpless useless wrecked,Yes
"stalled maimed wounded mangled lame mutilated
stalled maimed wounded mangled lame mutilated
stalled maimed wounded mangled lame mutilated
stalled maimed wounded mangled lame mutilated
stalled maimed wounded mangled lame mutilated
",stalled maimed wounded mangled lame mutilated,stalled maimed wounded mangled lame mutilated,Yes
"rundown worn out weakened impotent castrated paralyzed handicapped
run down worn out weakened impotent castrated paralyzed handicapped
rundown worn out weakened impotent castrated paralyzed handicapped
run down worn out weakened impotent castrated paralyzed handicapped
run down worn out weakened impotent castrated paralyzed handicapped
",rundown worn out weakened impotent castrated paralyzed handicapped,rundown worn out weakened impotent castrated paralyzed handicapped,Yes
"senile decrepit laid up done up done for done in cracked up counted out
senile decrepit laid up done up done for done in cracked up counted out
senile decrepit laid up done up done for done in crapped up counted out
scenile decrepit laid up done up done for done in cracked up counted out
senile decrepit laid up done up done for done in cracked up count it out
",senile decrepit laid up done up done for done in cracked up counted out,senile decrepit laid up done up done for done in cracked up counted out,Yes
"see also hurt useless and weak antonyms healthy strong capable
see also hurt useless and weak antonyms healthy strong capable
see also hurt useless and weak antonyms healthy strong capable
see also hurt useless and weak antonyms healthy strong capable
see also hurt useless and weak antonyms healthy strong capable
",see also hurt useless and weak antonyms healthy strong capable,see also hurt useless and weak antonyms healthy strong capable,Yes
"i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i had just gotten past mangled
i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i would just gotten past mangled
i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i had just gotten past mangled
i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i had just gotten past mangled
i was reading this list out loud to a friend and at first i was laughing it was so ludicrous but i had just gotten past mangled
",i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i just gotten past mangled,i was reading this list out loud to a friend and at first was laughing it was so ludicrous but i had just gotten past mangled,No
"and my voice broke and i had to stop and collect myself from the emotional shock
and my voice broke and i had to stop and collect myself from the emotional shock
when my voice broke and i had to stop and collect myself from the emotional shock
and my voice broke and i had to stop and collect myself from the emotional shock
when my voice broke and i had to stop and collect myself from the emotional shock
",and my voice broke and i had to stop and collect myself from the emotional shock,when my voice broke and i had to stop and collect myself from the emotional shock,No
"and impact that the assault from these words unleashed
and impact that the assault from these words unleashed
and an impact that the assault from these words unleashed
and impact that the assault from these words unleashed
an impact that the assault from these words unleashed
",and and impact that the assault from these words unleashed,and impact that the assault from these words unleashed,No
