input,output,prediction,match
"list all us air flights from miami to cleveland leaving on sunday afternoon
list all us air flights from miami to cleveland leaving on sunday afternoon
list all us air flights from miami to cleveland leaving on sunday afternoon
list all us airflights from miami to cleveland leaving on sunday afternoon
list all us airflights from miami to cleveland leaving on sunday afternoon
",list all us air flights from miami to cleveland leaving on sunday afternoon,list all us air flights from miami to cleveland leaving on sunday afternoon,Yes
"list the flights from dallas to baltimore arriving july onest
list the flights from dallas to baltimore arriving july onest
list the flights from dallas to baltimore arriving july one
list the flights from dallas to baltimore arriving july one
list the flights from dallas to baltimore arriving july onest
",list the flights from dallas to baltimore arriving july first,list the flights from dallas to baltimore arriving july onest,No
"i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june tenth
i would like to fly from san diego to houston on june ten
i would like to fly from san diego to houston on june ten
",i would like to fly from san diego to houston on june tenth,i would like to fly from san diego to houston on june tenth,Yes
"is there an american airlines flight from houston to newark on june tenth after sixpm
is there an american airlines flight from houston to newark on june ten after six p m
is there an american airlines flight from houston to newark on june ten after sixpm
is there an american airlines flight from houston to newark on june tenth after six pm
is there an american airlines flight from houston to newark on june tenth after sixpm
",is there an american airlines flight from houston to newark on june tenth after six pm,is there an american airlines flight from houston to newark on june tenth after six pm,Yes
"what is the lowest fare from bwi to salt lake city
what is the lowest fair from bwi to salt lake city
what is the lowest fare from bwy to salt lake city
what is the lowest fare from b w i to salt lake city
what is the lowest fare from b w i to salt lake city
",what is the lowest fare from bwi to salt lake city,what is the lowest fare from bwi to salt lake city,Yes
"list a flight on delta airlines from toronto to san diego
list a flight on delta airlines from toronto to san diego
list a flight on delta airlines from toronto to san diego
lists a flight on delta airlines from toronto to san diego
lists a flight on delta airlines from toronto to san diego
",list a flight on delta airlines from toronto to san diego,list a flight on delta airlines from toronto to san diego,Yes
"list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
list the alaska airlines flights departing from burbank
",list the alaska airlines flights departing from burbank,list the alaska airlines flights departing from burbank,Yes
"list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
list last wednesday flight from oakland to salt lake city
",list last wednesday flight from oakland to salt lake city,list last wednesday flight from oakland to salt lake city,Yes
"show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
show flights from burbank to saint louis on monday
",show flights from burbank to saint louis on monday,show flights from burbank to saint louis on monday,Yes
"show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eight one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eight one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
show me the cheapest round trip fare from san francisco to houston on february twenty-eightth one thousand, nine hundred and ninety-four
",show me the cheapest round trip fare from san francisco to houston on february twenty eighth nineteen ninety four,show me the cheapest round trip fare from san francisco to houston on february twenty eightth one thousand nine hundred and ninety four,No
"what are the flights from la gordia to san jose on united
what are the flights from la guardia to san jose on united
what are the flights from laguardia to san jose on united
what are the flights from laguardia to san jose on united
what are the flights from laguardia to san jose on united
",what are the flights from la guardia to san jose on united,what are the flights from laguardia to san jose on united,No
"what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
what are the flights from saint louis to charlotte north carolina leaving on friday
",what are the flights from saint louis to charlotte north carolina leaving on friday,what are the flights from saint louis to charlotte north carolina leaving on friday,Yes
