input,output,prediction,match
"but it really is a rolls royce version
but it really is a rolls royce version
but it really is a rolls royce version it is
but it really is a rolls royce version it is
it really is a rolls royce version
",but it really is a rolls royce version,but it really is a rolls royce version it is,No
"we have come to the end of our day
we have come to the end of our day
we have come to the end of our
to the end of our day
to the end of our day
",we have come to the end of our day,we have come to the end of our day,Yes
"but of course it depends what you are flying and if it was a strange contraption that holly was
but of course it depends what you were flying and if it was a strange contraption that holly was
but of course it depends what you were flying and if it was a strange contraption that polly was
but of course it depends what you were flying and if it was a strange contraption that polly was
but of course it depends what you were flying and if it was a strange contraption that holly was
",but of course it depends what you were flying and if it was a strange contraption that holly was,but of course it depends what you were flying and if it was a strange contraption that holly was,Yes
"as well as being a rather fascinating guide to the exhibition and victorian tastes of the time
as well as being a rather fascinating guide to the exhibition and victorian tastes of the time
as well as being a rather fascinating guide to the exhibition and victorian tastes of the time
as well as being a rather fascinating guide to the exhibition and victorian tastes of the time
as well as being a rather fascinating guide to the exhibition and victorian tastes of the time
",as well as a fascinating guide to the exhibition and victorian tastes of the time,as well as being a rather fascinating guide to the exhibition and victorian tastes of the time,No
"that no matter how dreadful the aliens were
that no matter how dreadful the aliens were
that no matter how dreadful the aliens were .
that no matter how dreadful the aliens were
that no matter how dreadful the aliens were
",that no matter how dreadful the aliens were,that no matter how dreadful the aliens were,Yes
"they are supposed to keep out dust and rain and
they are supposed to keep out dust and rain and
they are supposed to keep out dust and rain
they are supposed to keep out dust and rain
they are supposed to keep out dust and rain and
",they are supposed to keep out dust and rain,they are supposed to keep out dust and rain and,No
"she is double crossed us
she is double crossed us
she is double crossed us
she is double crossed us
she is double crossed us
",she is double crossed us,she is double crossed us,Yes
"really beautiful work and every time we have given her a challenge
really beautiful work and every time we have given her a challenge
really beautiful work and every time we have given her a challenge
really beautiful work and every time we have given her challenges
really beautiful work and every time we have given her a challenge
",really beautiful work and every time we have given her a challenge,really beautiful work and every time we have given her a challenge,Yes
"what is your verdict and why is that your verdict
what is your verdict and why is that your verdict
what is your verdict and why is that your verdict
what is your verdict and why is that your verdict
what is your verdict and why is that your verdict
",what is your verdict and why is that your verdict,what is your verdict and why is that your verdict,Yes
"and then on sunday evening
and then on sunday evening
and then on sunday evening
can then on sunday evening
then on sunday evening
",and on sunday evening,and then on sunday evening,No
"it is all about baby more now
it is all about baby more now
it is all about baby more now
it is all about baby more now
it is all about baby more now .
",it is all about baby mo now,it is all about baby more now,No
"as we are going through the process in the
as we are going through the process
as we are going through the process and the
as we are going through the process and
as we are going through the process
",as we are going through the process,as we are going through the process and the,No
"you are entitled to hold them responsible for any breach of contract
because you are entitled to hold them responsible for any breach of contract
you are entitled to hold them responsible for any breach of contract
as you are entitled to hold them responsible for any breach of contract
because you are entitled to hold them responsible for any breach of contract
",you are entitled to hold them responsible for any breach of contract,you are entitled to hold them responsible for any breach of contract,Yes
"it and you know it through a certain situation and when
it and you know it through a certain situation
it and you know it through a certain situation when
and you know it through a certain situation and when
and you know it through a certain situation
",and you know it through a certain situation,it and you know it through a certain situation and when,No
"it was in the air incubator
it was in the airing cupboard
it was in the air ink cupboard
it was in the air in cabot
it was in the air in cupboard
",it was in the airing cupboard,it was in the air incubator,No
"you will decide later
you will decide later
you will decide later
you will decide later
you understand later
",you will decide later,you will decide later,Yes
"but even in this day and airs
but even in this day and airs
but even in this day and a
but even in this day and a
but even in this day and air
",even in this day and age,but even in this day and air,No
"it will sound ridiculous now
it will sound ridiculous now
well it will sound ridiculous now
well it will sound ridiculous now
it will sound ridiculous now
",it will sound ridiculous now,it will sound ridiculous now,Yes
"welcome to dudley
welcome to dudley
welcome to dudley
welcome to daddly
welcome to duddley
",welcome to dudley,welcome to dudley,Yes
"it is a lovely thing
it is a lovely thing
that is a lovely thing
it is a lovely thing
it is a lovely thing
",it is a lovely thing,it is a lovely thing,Yes
"ferrari has actually said
ferrari has actually said .
ferrari has actually said
ferrari has said
ferrari has said
",ferrari has actually said,ferrari has actually said,Yes
"it is the middle of the night
it is the middle of the night huh
it is the middle of the night
look it is the middle of the night
look it is the middle of the night
",it is the middle of the night,it is the middle of the night,Yes
"damage can detract from an item is appeal
damage can detract from an items appeal
damage can detract from an item is appeal
damage can detract from an items appeal
damage can detract from an item is appeal
",damage can detract from an item is appeal,damage can detract from an item is appeal,Yes
"but to force a sale
but to force a sale
but to force a sail
both to force a sale
but to force a sale
",but to force a sale,but to force a sale,Yes
"stunts and engineering was brownfield and
stunson engineering was brownfield and
stunson engineering was brownfield and
stunts and engineering was brownfield
stunson engineering was brownfield and
",stanton engineering was brownfield and,stunts and engineering was brownfield and,No
"i have given thought to this matter
i have given thought to this matter
i have given thoughts to this matter
i have given thought to this matter .
i have given thought to this matter
",i have given thought to this matter,i have given thought to this matter,Yes
"by two ships for the north
by two ships for the north
by two chefs for the north
by two shifts for the north
by two chefs for the north
",by two chefs from the north,by two ships for the north,No
"it is time for the final round which ends
it is time for the final round which ends
it is time for the final round which ends
it is time for the final round which ends
it is time for the final round which is
",it is time for the final round which,it is time for the final round which ends,No
"i love you so much i can not touch my pudding
i love you so much i can not touch my pudding
i love you so much i can not touch my pudding
i love you so much i can not touch my pudding
i love you so much i can not touch my pudding
",i love you so much i can not touch my pudding,i love you so much i can not touch my pudding,Yes
"just remind them
and just remind them
and just remind them
just remind them
just remind them
",just remind them,just remind them,Yes
"we have a lot of candidates and we go through a lot of processing to make them announcements but the
we have a lot of candidates and we go through a lot of processing to make them announcements but there
we have a lot of candidates and we go through a lot of processing to make them announcements but the
first we have a lot of candidates and we go through a lot of processing to make them announcements
sometimes we have a lot of candidates and we go through a lot of processing to make them announcements
",we have a lot of candidates and we go through a lot of processing to make them announcements but,we have a lot of candidates and we go through a lot of processing to make them announcements but sometimes we have a lot of candidates and we go through a lot of processing to make them announcements,No
"so what really needs to be done in scotland is to find other ways to boost the economy
so you know what really needs to be done in scotland is to find other ways to boost the economy
so you know what really needs to be done in scotland is to find other ways to boost the economy and the
so you know what really needs to be done in scotland is to find other ways to boost the economy in the
so you know what really needs to be done in scotland is to find other ways to boost the economy in this
",what really needs to be done in scotland is to find other ways to boost the economy,so you know what really needs to be done in scotland is to find other ways to boost the economy in this,No
"to embrace the plants that thrive in it and create a little bit of woodland magic in all
to embrace the plants that thrive in it and create a little bit of woodland magic in all
to embrace the plants that thrive in it and create a little bit of woodland magic in all
to embrace the plants that thrive in it and create a little bit of woodland magic in all
to embrace the plants that thrive in it and create a little bit of woodland magic in all of it
",to embrace the plants that thrive in it and create a little bit of woodland magic in,to embrace the plants that thrive in it and create a little bit of woodland magic in all of it,No
"well here we are in the great hall
but here we are in the great tool
well here we are in the great tool
well here we are in the great hall
but here we are in the great hall
",here we are in the great hall,well here we are in the great hall,No
"these kind of paintings which are of more than scenes away
these kind of paintings which are of more than scenes
these kind of paintings which are of moorland scenes
these kind of paintings which are of more than scenes or
these kind of paintings which are a lot of more than scenes
",these kind of paintings which are of moorland scenes,these kind of paintings which are of more than scenes away,No
"i might have a go at using that bergamot marinade on a barbecue this weekend
i might have a go at using that burgamot marinade on a barbecue this weekend
i might have a go at using that burger not marinade on a barbecue this weekend
and i might have a go at using that bergamot marinade on a barbecue this weekend
and i might have a go at using that bergamot marinade on a barbecue this weekend
",i might have a go at using the bergamot marinade on a barbecue this weekend,i might have a go at using that bergamot marinade on a barbecue this weekend,No
"we are shot up forever
was shot up forever
we are shut up forever
was shut up forever
was shot up forever
",were shut up forever,we are shot up forever,No
"graham white was a visionary
graeme white was a visionary
graeme white was a visionary
graeme white was a visionary
graeme white was a visionary
",grahame white was a visionary,graham white was a visionary,No
"that is very kind
that is very kind
that is pretty kind
that is very kind i
that is very kind i
",that is very kind,that is very kind,Yes
"and i know it is hard
i know it is hard
and i know it is hard
i know it is hard
it is hard
",i know it is hard,and i know it is hard,No
"and they are a type of insectivorous mammals they are distantly related to shrews
and they are a type of insectivorous mammal they are distantly related to shrews
and they are a type of insectivorous mammal they are distantly related to shrews
and they are a type of insectivorous mammals they are distantly related to shrews
and they are a type of insectivorous mammals they are distantly related to shrews
",and they are a type of insectivorous mammal they are distantly related to shrews,and they are a type of insectivorous mammal they are distantly related to shrews,Yes
"they would found the swans
they would found the swarms
they would found the swans
they would found the swarms
they would found a swans
",they found the swans,they would found the swans,No
"will it really be okay inside
will it really be okay inside
will it really be okay inside
will it really be ok inside
we will really be okay inside
",will it really be ok inside,will it really be okay inside,No
"may rain with him in glory
may rain with him and glory
may reign with him in glory
may reign with him in glory
may reign with him in glory
",may reign with him in glory,may rain with him in glory,No
"the uk spends one point
the u k spends one point
the uk spends one point
the u k spends one point
the u k spends one point two
",the uk spends one,the uk spends one point two,No
"the way they issue the challenge
in the way they issue the challenge
and the way they issue the challenge
the way they show the challenge
the way they issue the challenge
",the way they issue the challenge,the way they issue the challenge,Yes
