input,output,prediction,match
"at nec the need for international mergers will keep rising
at nec the need for international mergers will keep rising
at nec the need for international mergers will keep rising
at nec the need for international mergers will keep rising
at nec the need for international mergers will keep rising
",at nec the need for international managers will keep rising,at nec the need for international mergers will keep rising,No
"the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years
the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years
the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years
the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years
the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years
",the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years,the company has five hundred japanese managers overseas most of them in key positions and expects the number to rise sixty percent in the next five years,Yes
"about half these managers are in the u s
about half these managers are in the us
about half these managers are in the us
about half these managers are in the us
about half of these managers are in the us
",about half these managers are in the us,about half these managers are in the us,Yes
"rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli
rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli
rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli
rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli
rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli
",rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli,rli corporation a peoria illinois based insurance holding company will begin trading friday on the big board under the symbol rli,Yes
"the company previously traded over the counter
the company previously traded over the counter
the company freely concentrated over the counter
the company freely concentrated over the counter
the company is really concentrated over the camera
",the company previously traded over the counter,the company previously traded over the counter,Yes
"two other issues began trading recently on the big board
two other issues began trading recently on the big board
two other issues began trading recently on the big board
and two other issues began trading recently on the big board
but two other issues began trading recently on the big board
",two other issues began trading recently on the big board,two other issues began trading recently on the big board,Yes
"the agency is not likely to take any action until the union is rank and file votes on the contract in two to three weeks
the agency is not likely to take any action until the unions rank and file votes on the contract in two to three weeks
the agency is not likely to take any action until the union is rank and file votes on the contract in two three weeks
the agency is not likely to take any action until the unions rank and file votes on the contract in two three weeks
the agency is not likely to take any action until the union is rank and file votes on the contract in two to three weeks
",the agency is not likely to take any action until the union is rank and file votes on the contract in two to three weeks,the agency is not likely to take any action until the union is rank and file votes on the contract in two to three weeks,Yes
"union officials expect ratification
union officials expect ratification
union officials expect ratification
union officials expect ratification
union officials expect ratification
",union officials expect ratification,union officials expect ratification,Yes
"a pbgc spokesman declined to comment
a pbgc spokesman declined to comment
a pbgc spokesman declines product
a pbgc spokesman declined to comment
a pvgc spokesman declined to comment
",apbgc spokeswoman declined comment,a p b g c spokeswoman declined to comment,No
"despite the july decline durable goods orders remained seven point seven percent above the year earlier level
despite the july decline durable goods orders remain seven point seven percent above the year earlier level
despite the july decline durable goods orders remained seven point seven percent above the year earlier level
despite the july decline durable goods orders remain seven point seven percent above the year earlier level
despite the july decline durable goods orders remain seven point seven percent above the year earlier level
",despite the july decline durable goods orders remained seven point seven percent above the year earlier level,despite the july decline durable goods orders remain seven point seven percent above the year earlier level,No
"economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment
economists are encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment
economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment
economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment
economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment
",economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment,economists were encouraged by a one point six percent increase in new orders for non defense capital goods an important indicator of future business investment,Yes
"the rise in that category in july is led by increased orders for aircraft and cars non electrical machinery lumber and furniture
the rise in that category in july is led by increased orders for aircraft and cars non electrical machinery lumber and furniture
the rise in that category in july was led by increased orders for aircraft and cars non electrical machinery lumber and furniture
the rise in that category in july was led by increased orders for aircraft and cars non electrical machinery lumber and furniture
the rise in that category in july has led by increased orders for aircraft and cars non electrical machinery lumber and furniture
",the rise in that category in july was led by increased orders for aircraft and parts nonelectrical machinery lumber and furniture,the rise in that category in july is led by increased orders for aircraft and cars non electrical machinery lumber and furniture,No
"interest rates rose on torture and treasury bills sold by the government yesterday at its regular weekly auction
interest rates rose on short term treasury bills sold by the government yesterday at its regular weekly auction
interest rates rose at a torture and treasury bill sold by the government yesterday at its regular weekly auction
interest rates rose on a torture and treasury bill sold by the government yesterday at its regular weekly auction
interest rates rose on torturing treasury bills sold by the government yesterday at its regular weekly auction
",interest rates rose on short term treasury bills sold by the government yesterday at its regular weekly auction,interest rates rose on torture and treasury bills sold by the government yesterday at its regular weekly auction,No
"the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous arson last year
the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last year
the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous arson last year
the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last year
the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last year
",the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last week,the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last year,No
"the average rate on new two thousand and sixteen vehicles rose to six point one six percent from six point one two percent
the average rate on new two thousand and sixteen vehicles rose to six point one six percent from six point one two percent
the average rate on new two thousand and sixteen vehicles rose to six point one six percent from six point one two percent
the average rate on new two thousand and sixteen goes to six point one six percent from six point one two percent
the average rate on new two thousand and sixteen vehicles is six point one six percent from six point one two percent
",the average rate on new twenty six week bills rose to six point one six percent from six point one two percent,the average rate on new two thousand and sixteen vehicles rose to six point one six percent from six point one two percent,No
"analysts too generally play down the effect on things
analyst two generally played down the effect on things
and those two generally play down the effect on things
analyst two generally played down the effect on banks
analyst two generally played down the effect on bags
",analysts too generally played down the effect on banks,analysts generally play down the effect on things,No
"in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks
and in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks
in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks
in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks
in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks
",in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks,in a fundamental sense the equity markets have very little to do with what goes on in the commercial banks,Yes
"there should not be any risk to the banks in this sort of stuff said laurence covey a banking analyst at maryland
there should not be any risk to the banks in this sort of stuff said lawrence covey a banking analyst at maryland juvenile services
there should not be any risk to the banks in this sort of stuff said laurence covey a banking analyst at maryland state university
there should not be any risk to the banks in this sort of stuff said lawrence cove a banking analyst at maryland juvenile services
there should not be any risk to the banks in this sort of stuff said lawrence covey a banking analyst at maryland state university
",there should not be any risk to the banks in this sort of stuff said lawrence cohn a banking analyst at merrill lynch and company,there should not be any risk to the banks in this sort of stuff said lawrence covey a banking analyst at mary,No
"the investor now owns seventy-three percent of the company
the investor now owns seventy-three percent of the company
the investor now owns seventy-three per cent of the company
the investor now owns seventy three percent of the company
the investments are now on seventy-three percent of the company
",the investor now owns seventy three percent of the company,the investor now owns seventy three percent of the company,Yes
"texaco has three choices a company advisor says
texaco has three choices a company advisor says
texaco has three choices a company advisor says
texaco has three choices a company advisor says
texaco has three choices a company advisor says
",texaco has three choices a company adviser says,texaco has three choices a company advisor says,No
"it can sign on to the plan file a competing plan or take a completely passive role that neither endorses nor opposes the plan
it can sign on to the plan file a competing plan or take a completely passable that neither endorses nor opposes the plan
it can sign on to a plan file a competing plan or take a completely passive role that neither endorses nor opposes the plan
it can sign on to a plan file a competing plan or take a completely passive role that neither endorses nor opposes a plan
it can sign on to a plan file a competing plan or take a completely passable that neither endorses nor opposes the plan
",it can sign onto the plan file a competing plan or take a completely passive role that neither endorses nor opposes a plan,it can sign on to a plan file a competing plan or take a completely passive role that neither endorses nor opposes the plan,No
"unable to agree on friday the board must meet again at least by phone to register its choice
unable to agree on friday the board must meet again at least by phone to register its choice
unable to agree on friday the board must meet again at least by phone to register it is choice
unable to agree on friday the board must meet again at least by phone to register its choice
unable to agree on friday the board must meet again at least by phone to register it is choice
",unable to agree on friday the board must meet again at least by phone to register its choice,unable to agree on friday the board must meet again at least by phone to register its choice,Yes
"commerce department officials noted however that auto imports usually rise in october as dealers fill their inventories with new models
commerce department officials noted however that auto imports usually rise in october as dealers fill their inventories with new models
commerce department officials noted however that auto imports usually rise in october as dealers fill their inventory with new models
commerce department officials noted however that auto imports usually rise in october as dealers fill their inventory with new models
commerce department officials noted however that auto imports usually rise in october as dealers fill their inventory with new models
",commerce department officials noted however that auto imports usually rise in october as dealers fill their inventories with new models,commerce department officials noted however that auto imports usually rise in october as dealers fill their inventory with new models,No
"the rise in auto imports also reflects higher prices for imported cars
the rise in auto imports also reflects higher prices for imported cars
the rise and auto imports also reflects higher prices for imported cars
the rise and auto imports also reflects higher prices for imported cars
the rise and auto imports also reflect higher prices for imported cars
",the rise in auto imports also reflects higher prices for imported cars,the rise in auto imports also reflects higher prices for imported cars,Yes
